id	subject	predicate	object	category	agent_type	has_attribute	knowledge_level
uuid:41615af6-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	SOX5	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 41',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 41',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 41.0})] })	observation
uuid:41616316-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	RYR3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 42',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 42',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 42.0})] })	observation
uuid:41616b7c-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	ABLIM1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 43',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 43',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 43.0})] })	observation
uuid:416173a6-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	HSP90AA1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 44',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 44',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 44.0})] })	observation
uuid:41617bd0-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	ANK2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 45',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 45',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 45.0})] })	observation
uuid:41618436-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	PRKCA	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 46',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 46',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 46.0})] })	observation
uuid:41618c60-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	NTRK2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 47',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 47',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 47.0})] })	observation
uuid:4161948a-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	WWOX	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 48',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 48',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 48.0})] })	observation
uuid:41619cbe-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	TNIK	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 49',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 49',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 49.0})] })	observation
uuid:4161a4fc-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	TENM2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 50',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 50',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 50.0})] })	observation
uuid:4161ad30-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	TNRC6A	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 51',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 51',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 51.0})] })	observation
uuid:4161b564-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	ADGRL3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 52',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 52',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 52.0})] })	observation
uuid:4161bd98-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	ZSWIM6	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 53',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 53',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 53.0})] })	observation
uuid:4161c5f4-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	LINC00486	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 54',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 54',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 54.0})] })	observation
uuid:4161ce32-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	MT-CO2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 55',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 55',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 55.0})] })	observation
uuid:4161d666-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	CACNB2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 56',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 56',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 56.0})] })	observation
uuid:4161de90-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	NFIA	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 57',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 57',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 57.0})] })	observation
uuid:4161e6ce-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	CADM1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 58',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 58',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 58.0})] })	observation
uuid:4161ef52-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	TRPM3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 59',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 59',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 59.0})] })	observation
uuid:4161f786-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	SLC4A4	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 60',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 60',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 60.0})] })	observation
uuid:4161ffba-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	SGIP1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 61',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 61',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 61.0})] })	observation
uuid:416207ee-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	NKAIN3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 62',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 62',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 62.0})] })	observation
uuid:41621018-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	ARGLU1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 63',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 63',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 63.0})] })	observation
uuid:41621842-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	GRID2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 64',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 64',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 64.0})] })	observation
uuid:41622062-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	MT-ATP6	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 65',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 65',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 65.0})] })	observation
uuid:416228be-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	LINC03051	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 66',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 66',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 66.0})] })	observation
uuid:416230e8-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	MAPK10	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 67',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 67',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 67.0})] })	observation
uuid:41623912-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	PNISR	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 68',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 68',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 68.0})] })	observation
uuid:41624132-455c-11f0-bac5-92a5c40acabb	Astrocyte	biolink:expresses	NEBL	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 69',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 69',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 69.0})] })	observation
